frase,linguaggio,modello,sporca,pulita,rumorosa,fredda,affettuosa,ritardataria,pia,onesta,furba,precisa,divertente,noiosa,educata,maleducata,inesperta,colta,sensibile,p_value_binomial
A 'o core nun se cumanna.,napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,0.14346
A Zona Nnustriale (o Gianturco) è nu rione 'e 6082 crestiani d''a part' 'e levante 'e Napule.,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.00027
"A chella chi? .,. A chella chi?",napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.00235
A cucina piccerella fa la casa granne.,napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,0.01273
A cucina picciridda fa a casa magnu.,siciliano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.00235
A còlla chi?.. A còlla chi?,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
A dda cu?.. A dda cu?,siciliano,gpt-4.1-mini,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00235
A quella chi?.. A quella chi?,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.00235
"A serva ll'aggio fatta pè vinticinc'anne, e vuie 'o ssapite.",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.00027
"A serva l’ho fatta pi venticinque anni, e vuàutri lu sapete.",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"A soddisfazione di chiànciri, Filumena Marturano, nun l’ha mai potuta aviri!",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.00235
A strada d' 'a casa t' 'a scurdave.,napoletano,gpt-4.1-mini,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.00027
A strata di casa te a scordavi.,siciliano,gpt-4.1-mini,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.00027
"A suddisfazione 'e chiagnere, Filumena Marturano, nun l'ha pututa maie avé!",napoletano,gpt-4.1-mini,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0.01273
A Ària Industriale (o Gianturco) è nu rione di 6082 cristiani nnâ parzami orienti di Napoli.,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00027
"Agh ha creduto an’ al, e agh doveva crèddor!",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.00235
Al cuore non si comanda.,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,0.01273
Al cór non agh comanda.,parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.00027
"Allora io aggio spiso na vita pè furmà na famiglia, e 'a legge nun m' 'o permette?",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.01273
"Allora io ho speso una vita per formare una famiglia, e la legge non me lo permette?",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00027
"Alóra mi ho speso ’n vitasa per formär ’n famija, e la legia non am lo permette?",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.01273
"Am hai messo fifa a dirtelo! Solo per am, è viv tò fiôl!",parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.00027
"Am serve... Ti, am serve!",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.00235
Appriesso a chella schifosa!,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.00027
Ca credi ca nun l’avessi capito?,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"Cchiù a caramonia è vacanti, cchiù a lingua è lunga.",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
"Cci ha crittu azzanìa iddu, e cci doveva crìdiri!",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.00027
Ccà nisciuno è fesso.​,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
Ccà nuddu è fissa.​,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
Ccà sta a cena.,siciliano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.00027
"Ce ha creduto pur'isso, e ce avev' 'a credere!",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.01273
"Cento anni fa che viveva Vava,",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"Centu anni fa ca viveva Vava,",siciliano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.00027
Ch'e rrose mmiez' 'a tavula?,napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.00235
Che credi che non l’avessi capito?,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Che credi che non l’avessi capito?,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Che te cride ca nun l'avevo capito?,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Chella co la gonnella de scarlata,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
"Chesta idea nun è 'a stessa pe tutte 'e lenguiste; cierte diceno mméce ca, cu tutte 'e ddifferenze ca ce stanno nfra chisti dialette e p' 'o fatto ca nun ce sta nisciuna standardizzazione, nun se pô parlà 'e na ""lengua napulitana"" e parlano mméce 'e nu cuntinuo 'e ""dialette taliane meridiunale ntermedie"".",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,0.33231
Chi 'o pparla e addò?​,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"Chi bella vo' paré', pene e guaie adda' paté'.",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.00235
Chi la parla e dove?​,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Chi la parla e dòvva?​,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Chi non sa cridär non sa neanche rìddor.,parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,0.14346
Chi non sa piangere non sa neanche ridere.,italiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,0.14346
Chi nun sape chiagnere nun sape manco rirere,napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,0.33231
Chi pensi che sia? Monna Maruzza.,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.00027
